Đánh giá mô hình
==============

Độ chính xác tổng thể: 0.0000
Độ chính xác ký tự: 0.0962

Chi tiết dự đoán:
1. Dự đoán: @TD@BZ, Thực tế: $WUW$
2. Dự đoán: $TCUAC, Thực tế: LQXLQF
3. Dự đoán: CZZCVX, Thực tế: %JCPP
4. Dự đoán: CZZCA$, Thực tế: $&#AA
5. Dự đoán: CFCVAZ, Thực tế: CFFCKK
6. Dự đoán: #&D@AZ, Thực tế: AX%SAX
7. Dự đoán: #LZC%%, Thực tế: ##X#TX
8. Dự đoán: CTDBFC, Thực tế: ZZDKD
9. Dự đoán: B$D@AZ, Thực tế: $&F$XK
10. Dự đoán: CDXBAU, Thực tế: CWBWW
11. Dự đoán: $CCK#C, Thực tế: #XXVW
12. Dự đoán: BTD@DL, Thực tế: &&&LB
13. Dự đoán: #TDW##, Thực tế: @ZU@#
14. Dự đoán: CTN@EC, Thực tế: ZXZPP
15. Dự đoán: C$D@AA, Thực tế: AXXXX
16. Dự đoán: #DD@A%, Thực tế: A#KUKA
17. Dự đoán: $$DVDA, Thực tế: #HE#QQ
18. Dự đoán: ADD@EK, Thực tế: DUNDQ
19. Dự đoán: $DCV#C, Thực tế: C&VVVC
20. Dự đoán: C$D@AC, Thực tế: $B$$$
21. Dự đoán: #&W@AV, Thực tế: ##FT#T
22. Dự đoán: #&D@A#, Thực tế: &DD&TT
23. Dự đoán: #$D@A%, Thực tế: @@$@P$
24. Dự đoán: $DCC#$, Thực tế: ZZUU&
25. Dự đoán: ##C@D%, Thực tế: DWLUWW
26. Dự đoán: CTP@DZ, Thực tế: CQKCQ
27. Dự đoán: $#XBEK, Thực tế: $$TPP
28. Dự đoán: #TC@DL, Thực tế: KUXTX
29. Dự đoán: ZDCCAA, Thực tế: ZDKCCZ
30. Dự đoán: CZZCZZ, Thực tế: DA$BD
31. Dự đoán: CZZCZZ, Thực tế: ZZUHH
32. Dự đoán: $DD@AA, Thực tế: BB@PB
33. Dự đoán: @#D@AA, Thực tế: $A$$XX
34. Dự đoán: #D$CA$, Thực tế: UUNNW
35. Dự đoán: #DZBAZ, Thực tế: ATTBCH
36. Dự đoán: C$BUWZ, Thực tế: ZTTEE@
37. Dự đoán: %ND@CZ, Thực tế: %E%KE
38. Dự đoán: #TN@DZ, Thực tế: %KSS%D
39. Dự đoán: CZCCDZ, Thực tế: DCCDS
40. Dự đoán: #$D@A%, Thực tế: @AHAS@
41. Dự đoán: %$D@BZ, Thực tế: @UHU@
42. Dự đoán: $DD@AC, Thực tế: #FZ#N
43. Dự đoán: C$ZUZ%, Thực tế: PPNPCN
44. Dự đoán: C$XBFZ, Thực tế: ZQQUU
45. Dự đoán: $&D@AA, Thực tế: #BZQZB
46. Dự đoán: #ZD@A%, Thực tế: &D@D&@
47. Dự đoán: %NDWA#, Thực tế: W%W%WC
48. Dự đoán: &DZZA&, Thực tế: $TSS$&
49. Dự đoán: ZTC@D$, Thực tế: $$$SL
50. Dự đoán: CNX@FK, Thực tế: C@@CX
51. Dự đoán: $DCCA$, Thực tế: C&FC&
52. Dự đoán: CDD@BZ, Thực tế: SQ$$SS
53. Dự đoán: #DDCD$, Thực tế: $QL&Q
54. Dự đoán: #DT#A%, Thực tế: %LWH%%
55. Dự đoán: &TNUAZ, Thực tế: &DT&TQ
56. Dự đoán: $DU&#$, Thực tế: AD$DD
57. Dự đoán: @TD@BZ, Thực tế: @%HUU
58. Dự đoán: $#D@EA, Thực tế: ATBTZT
59. Dự đoán: %DD@WZ, Thực tế: %UTAUP
60. Dự đoán: #ND@D%, Thực tế: D@BB@D
61. Dự đoán: #TD@A%, Thực tế: $%UBBU
62. Dự đoán: CTPUAZ, Thực tế: ZDDZZD
63. Dự đoán: ##C@AA, Thực tế: DDWP%A
64. Dự đoán: $#DKAA, Thực tế: AKKAAU
65. Dự đoán: $DUVAU, Thực tế: &QSLSL
66. Dự đoán: CLZCA$, Thực tế: $$KEV
67. Dự đoán: $DDVAA, Thực tế: ZK#LZL
68. Dự đoán: #$D@A%, Thực tế: @PBN@@
69. Dự đoán: #&D@DH, Thực tế: $@W@$
70. Dự đoán: $DDKAA, Thực tế: BBQFBB
71. Dự đoán: CDUBWA, Thực tế: BAFVVB
72. Dự đoán: CDZCA$, Thực tế: ##TJT
73. Dự đoán: CZZCZZ, Thực tế: ZZCDZ
74. Dự đoán: ZLCCZC, Thực tế: ZTXZZF
75. Dự đoán: $#C&E$, Thực tế: AXXXS
76. Dự đoán: CLZCAU, Thực tế: BVWNW
77. Dự đoán: $DCCAA, Thực tế: $Z&U$
78. Dự đoán: CDCV#Z, Thực tế: PBUPUE
79. Dự đoán: ASDCEA, Thực tế: AQDLL
80. Dự đoán: %ND@A%, Thực tế: &#&&WW
81. Dự đoán: $CDBFC, Thực tế: DFD#V
82. Dự đoán: $DCBA$, Thực tế: DAFAA
83. Dự đoán: $SXCEK, Thực tế: D@KEE
84. Dự đoán: Z$CBEA, Thực tế: BENEN
85. Dự đoán: $$D@AA, Thực tế: $$UV@
86. Dự đoán: Z#BKAA, Thực tế: #P#ZPN
87. Dự đoán: CDUUAZ, Thực tế: &ZEZFF
88. Dự đoán: BD&VWZ, Thực tế: BZ$BEB
89. Dự đoán: $#DVAA, Thực tế: BBXL&&
90. Dự đoán: #&D@DA, Thực tế: @%KKZ
91. Dự đoán: #TD@AC, Thực tế: @PV%VL
92. Dự đoán: %TD@#C, Thực tế: @$@AA
93. Dự đoán: #DD@A%, Thực tế: $$#VV$
94. Dự đoán: ##D@B%, Thực tế: @@@CNC
95. Dự đoán: CTCBEZ, Thực tế: DDSSS
96. Dự đoán: CZCCDZ, Thực tế: C%ESZZ
97. Dự đoán: $$DKA%, Thực tế: @KK#Z@
98. Dự đoán: #DA@DC, Thực tế: #$U@$
99. Dự đoán: #DD@A%, Thực tế: BPHHBB
100. Dự đoán: $#BKWA, Thực tế: $A$KA#
101. Dự đoán: $DCFAA, Thực tế: $D$FPD
102. Dự đoán: $DD@AA, Thực tế: BB$W$E
103. Dự đoán: $DDVAA, Thực tế: DHBH@
104. Dự đoán: C$DVAZ, Thực tế: BLXXL
105. Dự đoán: #&ZCA%, Thực tế: $@@STS
106. Dự đoán: #TP@AZ, Thực tế: AA$VFA
107. Dự đoán: C$X@EZ, Thực tế: P&ZZZ
108. Dự đoán: $$D@AA, Thực tế: AVHV#
109. Dự đoán: %ND@A%, Thực tế: %%D%%
110. Dự đoán: #$D@AH, Thực tế: %S%%SS
111. Dự đoán: #TD@A%, Thực tế: &&@@$@
112. Dự đoán: $DCZA$, Thực tế: @ZZE&
113. Dự đoán: CDDBAA, Thực tế: V$ZBVZ
114. Dự đoán: CLVBAC, Thực tế: CZVFCZ
115. Dự đoán: C$DBA$, Thực tế: BSBS&
116. Dự đoán: $DDVAA, Thực tế: ASSAAA
117. Dự đoán: C$VVWZ, Thực tế: BVTTHH
118. Dự đoán: #DDPAA, Thực tế: BVLHHB
